LVV Plateau Nord - Base de données Comptages;;;;;;Idéalement tranches de 15';;;;;;
JJ/MM/AAAA;Liste;Provenance/Destination;Sud/Nord/Montant...;H/F/Mixte/Enfant;Vélo/Cargos/EDPM;HH:MM;HH:MM;/!\ Bien indiquer 0 si personne;;Nom Prénom;;
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Vélo;07:45;08:00;1;;Yves;;3
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Vélo;08:00;08:15;2;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Vélo;08:15;08:30;1;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Vélo;08:30;08:45;0;;Yves;;1
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Vélo;08:45;09:00;2;;Yves;;3
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;0;;Yves;;1
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;0;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;0;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;0;;Yves;;1
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;0;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;0;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;07:30;07:45;1;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;0;;Yves;;0
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;08:00;08:15;0;;Yves;;4
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;0;;Yves;;2
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;0;;Yves;;2
03/12/2024;La Buissière;Route de Strasbourg;vers Chemin Bussière;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;0;;Yves;;2
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;07:30;07:45;3;;Yves;;1
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;07:45;08:00;0;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;08:00;08:15;2;;Yves;;1
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;08:15;08:30;3;;Yves;;2
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;08:30;08:45;3;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Vélo;08:45;09:00;2;;Yves;;3
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;0;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;0;;Yves;;1
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;0;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;1;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;0;;Yves;;2
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;0;;Yves;;0
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;07:30;07:45;1;;Yves;;
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;0;;Yves;;
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;08:00;08:15;1;;Yves;;
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;1;;Yves;;
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;0;;Yves;;
03/12/2024;La Buissière;Route de Genève;vers Caluire/Lyon;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;07:30;07:45;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;07:45;08:00;2;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;08:00;08:15;3;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;08:15;08:30;2;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;08:30;08:45;2;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Vélo;08:45;09:00;2;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;1;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;0;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;07:30;07:45;1;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;1;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;08:00;08:15;1;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;3;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;1;;Yves;;
03/12/2024;La Buissière;Route Genève/Strasbourg;Lyon/Caluire Vers Rilleux;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;0;;Yves;;
06/12/2022;La Buissière;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;45;;;;
05/12/2023;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;254;Détails dans fichier comptage;Xavier/Fabien;;
05/12/2023;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;09:00;18;Détails dans fichier comptage;Xavier/Fabien;;
05/12/2023;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;20;Détails dans fichier comptage;Xavier/Fabien;;
06/12/2022;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;245;Total yc cargo et enfants;;;
07/12/2021;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;209;Total yc cargo et enfants;;;
02/02/2021;Maison de la Voie Verte;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;104;Total yc cargo et enfants;;;
03/12/2024;Maison de la Voie Verte;N=>S;N=>S;Masculin;Vélo;07:30;09:00;62;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;N=>S;N=>S;Féminin;Vélo;07:30;09:00;56;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;N=>S;N=>S;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;09:00;9;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;S=>N;S=>N;Masculin;Vélo;07:30;09:00;24;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;S=>N;S=>N;Féminin;Vélo;07:30;09:00;12;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;S=>N;S=>N;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;09:00;1;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;"N ou S vers E ou O
 ou E ou O vers N ou S";"N ou S vers E ou O
 ou E ou O vers N ou S";Masculin;Vélo;07:30;09:00;48;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;"N ou S vers E ou O
 ou E ou O vers N ou S";"N ou S vers E ou O
 ou E ou O vers N ou S";Féminin;Vélo;07:30;09:00;41;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;"N ou S vers E ou O
 ou E ou O vers N ou S";"N ou S vers E ou O
 ou E ou O vers N ou S";Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;09:00;9;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;E=>O ou O=>E;E=>O ou O=>E;Masculin;Vélo;07:30;09:00;16;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;E=>O ou O=>E;E=>O ou O=>E;Féminin;Vélo;07:30;09:00;14;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;N ou S vers E ou O;N ou S vers E ou O;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;09:00;4;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Maison de la Voie Verte;Toutes directions;Toutes directions;Indéfini/Mixte;Trotinette/EDPM;07:30;09:00;16;Détail des comptages par 1/4h sur la feuille de saisie;Xavier / Valérie;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;07:30;07:45;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Féminin;Vélo;07:30;07:45;1;;;;
03/12/2024;Margnolles / Oratoire;Croix-rousse;rue Pasteur;Indéfini/Mixte;Vélo;07:30;07:45;3;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Masculin;Vélo;07:30;07:45;0;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;07:45;08:00;5;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Vélo;07:45;08:00;3;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;2;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Féminin;Vélo;07:45;08:00;1;;;;
03/12/2024;Margnolles / Oratoire;Croix-rousse;rue Pasteur;Indéfini/Mixte;Vélo;07:45;08:00;1;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;08:00;08:15;2;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Enfant seul;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Féminin;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;08:15;08:30;12;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Vélo;08:15;08:30;8;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Cargo/Longtail/Remorque;08:15;08:30;3;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Cargo/Longtail/Remorque;08:15;08:30;4;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;2;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Masculin;Vélo;08:15;08:30;3;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Enfant seul;Vélo;08:15;08:30;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;1;;;;
03/12/2024;Margnolles / Oratoire;Croix-rousse;rue Pasteur;Masculin;Vélo;07:30;07:45;2;;;;
03/12/2024;Margnolles / Oratoire;Croix-rousse;rue Pasteur;Féminin;Vélo;07:30;07:45;1;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;08:30;08:45;7;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Vélo;08:30;08:45;2;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;3;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Oratoire;Montessuy;Masculin;Vélo;08:30;08:45;1;;;;
03/12/2024;Margnolles / Oratoire;Croix-rousse;rue Pasteur;Indéfini/Mixte;Vélo;08:30;08:45;1;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Masculin;Vélo;08:45;09:00;3;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Féminin;Vélo;08:45;09:00;2;;;;
03/12/2024;Margnolles / Oratoire;Montessuy - ;Cx Rousse/Cuire/Oratoire;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;2;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;1;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Masculin;Vélo;07:45;08:00;2;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Masculin;Vélo;08:00;08:15;2;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Masculin;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Indéfini/Mixte;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Féminin;Vélo;08:00;08:15;1;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Féminin;Vélo;08:00;08:15;2;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Masculin;Vélo;08:15;08:30;3;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Masculin;Vélo;08:15;08:30;3;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Féminin;Vélo;08:15;08:30;3;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Féminin;Vélo;08:15;08:30;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;1;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Masculin;Vélo;08:30;08:45;3;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;2;;;;
03/12/2024;Margnolles / Oratoire;Cx Rousse/Cuire/Pasteur;Oratoire;Féminin;Cargo/Longtail/Remorque;08:30;08:45;2;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Féminin;Vélo;08:30;08:45;1;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Masculin;Vélo;08:30;08:45;2;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Masculin;Vélo;08:45;09:00;1;;;;
03/12/2024;Margnolles / Oratoire;Oratoire;Cuire/Croix Rousse/Pasteur;Féminin;Vélo;08:45;09:00;0;;;;
06/12/2022;Margnolles / Oratoire;Tous;Toutes;Indéfini/Mixte;Vélo;07:30;09:00;46;;;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;07:30;07:45;17;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;07:45;08:00;26;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;08:00;08:15;29;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;08:15;08:30;31;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;08:30;08:45;32;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Masculin;Vélo;08:45;09:00;26;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;07:30;07:45;14;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;07:45;08:00;18;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;08:00;08:15;27;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;08:15;08:30;30;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;08:30;08:45;28;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Féminin;Vélo;08:45;09:00;15;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;1;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;2;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;6;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;07:30;07:45;1;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;5;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;08:00;08:15;1;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;3;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;5;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Descente;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;3;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;07:30;07:45;3;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;07:45;08:00;5;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;08:00;08:15;3;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;08:15;08:30;5;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;08:30;08:45;11;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Masculin;Vélo;08:45;09:00;7;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;07:30;07:45;2;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;07:45;08:00;6;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;08:00;08:15;5;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;08:15;08:30;11;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;08:30;08:45;6;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Féminin;Vélo;08:45;09:00;6;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;1;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;1;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;2;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;07:30;07:45;0;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;07:45;08:00;4;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;08:00;08:15;3;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;08:15;08:30;2;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;08:30;08:45;2;;Philippe;;
11/06/2024;Montée de la Boucle;Haut de la Boucle;Montée;Indéfini/Mixte;Trotinette/EDPM;08:45;09:00;2;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;07:30;07:45;3;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;07:45;08:00;10;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;08:00;08:15;5;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;08:15;08:30;7;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;08:30;08:45;2;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Masculin;Vélo;08:45;09:00;5;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;07:30;07:45;5;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;07:45;08:00;3;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;08:00;08:15;9;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;08:15;08:30;5;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;08:30;08:45;8;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Féminin;Vélo;08:45;09:00;6;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;07:30;07:45;0;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;07:45;08:00;0;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:00;08:15;1;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:15;08:30;1;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:30;08:45;0;;Philippe;;
11/06/2024;Montée de la Boucle;Sortie Henri Dor;Descente;Indéfini/Mixte;Cargo/Longtail/Remorque;08:45;09:00;1;;Philippe;;
